codigo, descripcion
BJ,BALDE
BLL,BARRILES
4A,BOBINAS
BG,BOLSA
BO,BOTELLAS
BX,CAJAS
CT,CARTONES
CMK,CENTIMETRO CUADRADO
CMQ,CENTIMETRO CUBICO
CMT,CENTIMETRO LINEAL
CEN,CIENTO DE UNIDADES
CY,CILINDRO
CJ,CONOS
DZN,DOCENA
DZP,DOCENA POR 10**6
BE,FARDO
GLI,"GALON INGLES (4,545956L)"
GRM,GRAMO
GRO,GRUESA
HLT,HELECTROLITO
LEF,HOJA
SET,JUEGO
KGM,KILOGRAMO
KTM,KILOMETRO
KWH,KILOVATIO HORA
KT,KIT
CA,LATAS
LBR,LIBRAS
LTR,LITROS
MWH,MEGAWHAT HORA
MTR,METRO
MTK,METRO CUADRADO
MTQ,METRO CUBICO
MGM,MILIGRAMOS
MLT,MILILITRO
MMT,MILIMETRO
MMK,MILIMETRO CUADRADO
MMQ,MILIMETRO CUBICO
MLL,MILLARES
MU,MILLON DE UNIDADES
ONZ,ONZAS
PF,PALETAS
PK,PAQUETE
PR,PAR
FOT,PIES
FTK,PIES CUADRADOS
FTQ,PIES CUBICOS
C62,PIEZAS
PG,PLACAS
ST,PLIEGO
INH,PULGADAS
RM,RESMA
DR,TAMBOR
STN,TONELADA CORTA
LTN,TONELADA LARGA
TNE,TONELADAS
TU,TUBOS
NIU,UNIDAD (BIENES)
ZZ,UNIDAD (SERVICIOS)
GLL,"US GALON (3,7843 L)"
YRD,YARDA
YDK,YARDA CUADRADA
