codigo_de_tarifa,codigo,servicio_aplicable
L001,AT2,LUZ
L002,MT2,LUZ
L003,MT3,LUZ
L004,MT4,LUZ
L005,BT2,LUZ
L006,BT3,LUZ
L007,BT4,LUZ
L008,BT5A,LUZ
L009,BT5B ,LUZ
L010,BT6,LUZ
L011,BT5C-AP,LUZ
L012,BT5D,LUZ
L013,BT5E,LUZ
L014,BT7,LUZ
L015,BT8,LUZ
L016,BT5C,LUZ
L017,MT2L,LUZ
L018,MT2L_1 a MT2L21,LUZ
L019,MT2A a MT2Z,LUZ
L020,AT1 ,LUZ
L021,MT1,LUZ
A011,COMERCIAL,AGUA
A012,INDUSTRIAL,AGUA
A013,ESTATAL,AGUA
A014,DOMÉSTICO,AGUA
A015,SOCIAL,AGUA
A016,MULTIFAMILIAR INDIVIDUALIZADO,AGUA
A017,MULTIFAMILIAR NO INDIVIDUALIZADO,AGUA
G001,CAT – A1,GAS
G002,CAT – A2,GAS
G003,CAT – B,GAS
G004,CAT - C,GAS
G005,CAT – D,GAS
G006,CAT – E,GAS
G007,CAT – GE,GAS
G008,CAT – IP,GAS
G009,CAT – GNV,GAS
G010,CAT - A,GAS
G011,CAT - B1,GAS
G012,CAT - B2,GAS
G013,CAT - PESCA,GAS
G014,CAT - TIPO I,GAS
G015,CAT - TIPO II-A,GAS
G016,CAT - TIPO II-B,GAS
G017,CAT - TIPO III,GAS
G018,CAT - TIPO IV,GAS
G019,CAT - TIPO V,GAS
G020,CAT - TIPO VI,GAS
G021,CAT - TIPO VII,GAS
